"","title","author","avg_rating","my_rating","start_read_date","end_read_date"
"1","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Adams, Douglas","4.22",4,"Apr 22, 2021  ","Jun 09, 2021"
"2","Interior Chinatown","Yu, Charles","4.05",4,"Apr 21, 2021  ","May 22, 2021"
"3","Crying in H Mart","Zauner, Michelle","4.47",5,"Apr 20, 2021  ","Jun 28, 2021"
"4","Range: Why Generalists Triumph in a Specialized World","Epstein, David","4.15",3,"Apr 20, 2021  ","May 19, 2021"
"5","Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered","Kleon, Austin","4.10",4,"Apr 15, 2021  ","May 10, 2021"
"6","Transcendent Kingdom","Gyasi, Yaa","4.16",5,"Apr 13, 2021  ","Apr 20, 2021"
"7","The Rosie Project (Don Tillman, #1)","Simsion, Graeme","4.01",4,"Apr 08, 2021  ","Apr 27, 2021"
"8","How to Win Friends and Influence People","Carnegie, Dale","4.21",5,"Apr 07, 2021  ","Jun 14, 2021"
"9","The 5 Love Languages: The Secret to Love that Lasts","Chapman, Gary","4.25",3,"Mar 29, 2021  ","Jan 2021"
"10","Born a Crime: Stories From a South African Childhood","Noah, Trevor","4.46",5,"Mar 25, 2021  ","Mar 30, 2021"
"11","Eat a Peach","Chang, David","3.94",3,"Mar 25, 2021  ","Apr 08, 2021"
"12","Principles: Life and Work","Dalio, Ray","4.09",5,"Mar 25, 2021  ","Mar 25, 2021"
"13","Convenience Store Woman","Murata, Sayaka","3.72",5,"Mar 06, 2021  ","Mar 2021"
"14","Everything You’ll Ever Need: You Can Find Within Yourself","Freeman, Charlotte","4.49",4,"Mar 02, 2021  ","Mar 10, 2021"
"15","Dial A for Aunties","Sutanto, Jesse Q","3.92",4,"Jan 26, 2021  ","Jun 13, 2021"
"16","Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think","Rosling, Hans","4.34",4,"Jan 26, 2021  ","Mar 21, 2021"
"17","Grit: The Power of Passion and Perseverance","Duckworth, Angela","4.07",4,"Jan 26, 2021  ","May 03, 2021"
"18","Just Kids","Smith, Patti","4.15",5,"Jan 26, 2021  ","Feb 25, 2021"
"19","The 4-Hour Workweek","Ferriss, Timothy","3.91",2,"Jan 26, 2021  ","Jan 2021"
"20","Chemistry","Wang, Weike","3.72",5,"Jan 26, 2021  ","Jun 13, 2021"
"21","Little Fires Everywhere","Ng, Celeste","4.09",5,"Jan 26, 2021  ","Apr 13, 2021"
"22","Radical Candor: Be a Kickass Boss Without Losing Your Humanity","Scott, Kim Malone","4.10",3,"Jan 26, 2021  ","Jun 06, 2021"
"23","The Last Lecture","Pausch, Randy","4.24",4,"Jan 25, 2021  ","Feb 07, 2021"
"24","Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones","Clear, James","4.36",4,"Jan 25, 2021  ","Jan 28, 2021"
"25","You Do You: Discovering Live Through Experiments and Self-Awareness","Ruby, Fellexandro","4.51",5,"Jan 25, 2021  ","Jan 25, 2021"
"26","The Memoirs of Sherlock Holmes (Sherlock Holmes, #4)","Doyle, Arthur Conan","4.31",4,"Jan 25, 2021  ","Jan 2021"
"27","What Tech Calls Thinking: An Inquiry Into the Intellectual Bedrock of Silicon Valley","Daub, Adrian","3.65",3,"Jan 25, 2021  ","Jan 2021"
"28","Pride and Prejudice","Austen, Jane","4.27",4,"Jan 25, 2021  ","Jan 2021"
